Target,Priority_Score,Known_Drugs,Development_Phase,Indications,Regulatory_Impact
ANXA2,0.4351134387894504,No known drugs,Not available,Unknown,60
ALDOA,0.43199228018958785,No known drugs,Not available,Unknown,59
AKR1C2,0.38855045062144966,No known drugs,Not available,Unknown,54
B2M,0.3560188049809917,No known drugs,Not available,Unknown,49
AHNAK,0.35188476040921457,No known drugs,Not available,Unknown,44
ACTB,0.3306001827554061,No known drugs,Not available,Unknown,45
ACTG1,0.3248931213048042,No known drugs,Not available,Unknown,44
AGPAT2,0.2877849311903352,No known drugs,Not available,Unknown,39
ACSL1,0.2816418000108409,No known drugs,Not available,Unknown,38
CD36,0.2816418000108409,No known drugs,Not available,Unknown,38
ADIRF,0.27565914918254864,No known drugs,Not available,Unknown,37
ADH1B,0.27565914918254864,No known drugs,Not available,Unknown,37
ADIPOQ,0.27565914918254864,No known drugs,Not available,Unknown,37
ALDH1A1,0.19347031621892807,No known drugs,Not available,Unknown,24
CD74,0.19228628331126008,No known drugs,Not available,Unknown,23
AC010970.2,0.09986093790357262,No known drugs,Not available,Unknown,4
BTBD9,0.0883920481245608,No known drugs,Not available,Unknown,3
CD47,0.06951143606883906,No known drugs,Not available,Unknown,2
