,ABC14-864958H18.2,ABCB7,AAK1,ABCD4,ABC7-42391500H16.4,ABC12-47964100C23.1,AADAT,AADACL3,AB019441.29,A2M,ABCB10P3,ABCA7,AASS,ABCB8,ABCC13,AARS,ABCA8,ABCB4,AASDH,A4GALT,ABCB6,ABCC6P2,ABCB10P1,ABCB11,ABCB10P4,ABCC11,A1BG,AAGAB,AADACL4,ABCB10,AASDHPPT,ABCD2,ABCC5,ABC13-48559800H2.1,AAED1,ABCA6,ABCD3,ABCD1,AATK-AS1,ABC13-47656900H15.1,ABCD1P5,ABCA5,ABCA2,ABCB9,ABC7-42418200C9.1,ABC7-42404400C24.1,AARSD1,ABCA10,AADACP1,AAR2,A3GALT2,AADAC,ABCA3,ABCA4,A2MP1,AAMP,ABCA11P,ABCA1,ABCC3,ABCC10,ABCC2,AAAS,ABCA9,AACS,ABCC4,ABC9-43961700F1.1,ABCC6,ABCC6P1,ABCC12,ABCA17P,ABC13-48559800H2.2,AANAT,ABC13-47488600E17.1,AARS2,ABCC9,ABCC1,AATF,ABCB1,AAMDC
AC010970.2,0.013209017036044388,0.08844197754234696,0.04330877115884452,0.07318936188843642,0.8721128886323667,0.07304738009168742,0.01515195738719456,0.04896396504771432,0.016944750401754357,0.04609158659182202,0.9290696946479042,0.192075054220815,-0.017626002016826237,0.14901066976162913,0.1169618687834381,0.13713606036456816,0.08395450095412044,0.003188444445032898,0.10717869784051678,0.022994109783779648,0.0881338752658071,0.03385360929387743,0.08837508424802677,0.019229281982968145,0.9297741571751887,0.11786418121767729,0.14095823624820433,0.05603279419541293,0.3543073748350884,0.21896246329850105,0.07589894512480669,0.06408723117818042,0.15429589657283418,0.005388761973585371,0.04091848810321996,0.028523460565829342,0.030827711945543578,0.02724801032690325,0.09717023144900844,-0.0146985220990122,0.09797648050458768,0.007435193206126263,0.004881915050449286,0.15922441912602284,0.13942893607063978,0.04035684489476069,0.10546983090233358,0.05813608915813602,-0.005214397703337729,0.05406199484682717,0.017760326264958895,0.0650002421105197,0.11728312599176867,0.009200233183323048,0.12667675420207744,0.05016472261585632,0.058138009953451024,0.008679203477281823,0.001947413861362981,0.11025542612753339,0.012994541455547834,0.07433770306613709,0.09496558576739314,0.117704143953481,0.021749632877928346,-0.00989595953892989,0.08424657546053752,0.09556754030990237,-0.03723221061193372,0.2849990365354034,0.014726983647489287,0.09064263738543223,0.032604990142015476,0.1507010207468747,0.1060987986656832,0.03439090607020899,0.09695724296957546,0.2052137411366836,0.08086662505501171
CD74,0.07923643521613326,0.5488460274541923,0.2036469407467854,0.33375481757672876,0.06024420896858161,0.25911697292478625,0.01911642682657369,0.10472299979185341,0.2938462338437338,0.2274186666660596,-0.02235492861362482,0.3007351281833482,-0.028900274255045242,0.313132242389242,0.07161205604241622,0.480597505897781,0.2225393215918688,0.22705110357090078,0.3504464820568457,0.49942455835528077,0.2914981856487681,0.13753044877592163,0.0514676254559692,0.20187532050406648,-0.026554017753383778,0.15802925670723347,0.1984712097882337,0.5412598258922166,0.19287791177269764,0.5588013955435015,0.5149136378706569,0.30706464155714425,0.21329096968726766,0.28449465011261627,0.1781856153629824,0.2551516840522263,0.3242372661234472,0.17655045362476426,0.24661491220067017,0.22930122423925856,-0.01423200381535493,0.26760090530995345,0.06819635414222236,0.10119298304558275,0.017037126509332225,0.004073834315923474,0.4087946408634748,0.2256498903924772,0.01729077749998083,0.5219083099375731,0.006409898432718104,0.24248228242845363,0.06502041762145022,0.08054600239823184,0.20348302816174377,0.43013168393300905,0.2376324373681772,0.13355449378526324,0.01629639284918994,0.28084077169767924,-0.021907480891342517,0.37265395979862614,0.2199336671287698,0.42416003231681926,0.30776206570495235,0.7350150055953109,0.2463795664866116,0.17056939770313018,-0.06450620311991295,0.036817414989441605,-0.029020636258941458,0.15115524524922533,0.17153416978415534,0.3293093502839981,0.2188253377615141,0.3443191455700215,0.5449695662986287,0.39318591877132203,0.27440624212716963
B2M,0.24505140040929782,0.6337360279538007,0.3812202631239921,0.5264029773916356,0.12065884468685495,0.7433874026871848,0.20291111598601713,0.32487000594648563,0.2853806739101286,0.656606469854735,-0.024710071102575015,0.3735032969581765,0.06261599981081592,0.479374737965439,0.16614846351158988,0.4765636796305065,0.6668879408950962,0.28883965699306824,0.507682342667295,0.6656082927405177,0.608600232380308,0.5331652783250705,0.025350795137868067,0.3562233947980785,-0.03042830174170843,0.3657969939145296,0.2783028829683459,0.5923775404642779,0.5954795609890073,0.49184998017606857,0.5168429051642777,0.7270425871288043,0.3828544436546525,0.18860175286001163,0.3695125864320149,0.4281188344832142,0.5122202289316357,0.4170888232946975,0.733850412099366,0.21340784884351033,0.0729610723294638,0.412449383242782,0.18842937210323377,0.21304242614392666,0.0313661376419446,0.09342684499349717,0.7025416591459798,0.6227023241735089,0.057762966419193054,0.6718983741643539,0.12749836817759475,0.7148032675924773,0.18962428294834982,0.32272376707293776,0.5392317007070827,0.6760893771097857,0.4540011899183156,0.38031906109851615,0.10194037232176512,0.3779541416917337,0.031278142980979765,0.4908551465721418,0.6334254384782929,0.7975149154258746,0.17204945093780075,0.3705270184137458,0.6849045217585161,0.5269909470387262,-0.0700395270452709,0.15898881777168095,-0.03190476564827235,0.20186004864248083,0.23730520340054334,0.3339162494217882,0.6233626246505676,0.2839108300391089,0.5432925562343724,0.5272207656313131,0.7595355287028676
ALDH1A1,0.0013825325027309746,0.25473250990673046,0.14157089079973398,0.2551276548686115,0.01309454226000623,0.04629739493508649,0.4676341608070966,-0.0006422704075523983,-0.01598054082804624,0.0274119378136009,-0.0013425704696982646,0.15063935902780987,-0.021123390990444735,0.6869561347020375,-0.015425080363427502,0.6079894848976031,0.03506001947311549,-0.010344145762723442,0.10401571053622732,0.28218111400331564,0.5331897967063814,0.25287466096061323,0.8613113952069531,0.016134530851023274,-0.009096362035762081,0.4184357412458451,0.08958033211752431,0.3378113957063741,0.03154098888334077,0.21818161962433655,0.2449457345006946,0.04008076702382413,0.2671622050887315,0.36037121050361276,0.10012904372570305,0.002193652059654822,0.15181470444422845,0.058661942078646154,0.051086655474609936,0.02466276041116323,-0.01189318968418405,0.007951241950345004,0.2521532981303802,0.38945527770177363,-0.011755233834740609,0.8825626744062709,0.4951928635090971,0.0407071186458035,0.9553739561272238,0.5196155341791576,-0.0054669653561222175,0.3107022236280817,0.26499350809194117,0.04517140850835527,0.007199185752412158,0.5508032297194098,0.049943260023909225,0.028178536855244178,0.9442776343637196,0.39369326434712404,0.9753586954908837,0.7184937232304007,0.030741850582990785,0.18733430806938275,0.07568537377732269,-0.009871928174416232,0.05847414699416876,0.057861120650000965,0.6638859000305758,0.029615058787961376,-0.010531752585878526,0.46479235796366747,0.18105861792577801,0.34456001084887905,0.028034382889782015,0.6390466720898486,0.3098489185463726,0.011754568604764553,0.05925698592162048
ALDOA,0.282900864643007,0.7452061939733636,0.4113616499402992,0.6783042233743326,0.21629465106008686,0.7646567705088756,0.5312411028716616,0.2959085541067982,0.3088065755244613,0.7127891051625657,0.037127969815569796,0.4756340908240953,0.10433973452952139,0.7995025331461354,0.04110190895034304,0.7010502862091773,0.7296476640830798,0.1289474601766805,0.5104833411373413,0.7041314229082878,0.9034536955210797,0.7192460917854926,0.3283088847486808,0.4227258790171992,0.02320869546456352,0.487878913199512,0.26933634215442875,0.7055986638540742,0.5100315527839393,0.5869991619585085,0.5814601040363894,0.7586478323896759,0.5633463217783832,0.3842702522891959,0.3559379154930914,0.32962199866217706,0.6184327393601672,0.47962966096375903,0.764239362659811,0.29051264012767397,0.049399395917020875,0.29955050555056456,0.36487448422398855,0.45902306383638813,-0.0016234528757481687,0.4910582329573912,0.9366594726700157,0.6778474323620438,0.427575732864066,0.8957820103531821,0.15470257355397932,0.8508526690471243,0.45295922781128994,0.49947885236629147,0.6104810522127866,0.9452967061274836,0.52700741916488,0.3652935535321813,0.4397025806172054,0.5317436537808434,0.38826902719614126,0.8419243412606848,0.6796527488085993,0.8893053895316221,0.289716697636475,0.1668598363472648,0.7835597390021368,0.6142615350970748,0.20026184374162034,0.21482356120213106,0.08434171481050869,0.30590415918003105,0.2954386690320324,0.5234451937011471,0.6492464508588179,0.5583612698588993,0.6764187143842673,0.5734644907520468,0.7827096106160869
ADH1B,0.22059530153990362,0.4195171610398282,0.2779748337100254,0.46967225897018616,0.14322048092814887,0.9967982733562776,0.2568576652778935,0.3675428254989391,0.17753672230727127,0.9026059474972361,-0.0037386417505351614,0.1704823157257302,0.07276403972619014,0.4004378143161712,0.020942811536808218,0.23813250237340164,0.9164864088602981,0.08109919298448871,0.3242111448011657,0.5187359137894674,0.6723550154810137,0.7171598656968834,-0.018708303148589192,0.38366504752891056,-0.011276872821241415,0.32785039698207363,0.15206292219171863,0.3096378208933032,0.724168745620704,0.23938785435111118,0.22665815205042278,0.957711393138607,0.27301828412472506,-0.03789550292648682,0.27172359407499075,0.3579427713380412,0.3746986927014011,0.35226345884266097,0.9727836115102831,0.10130409725101934,0.07401583242181208,0.2868320759970119,0.22745309748129242,0.12030413052379221,0.0159082112941498,0.13742045435313208,0.7274052822478588,0.8085913243100505,0.028028915001011366,0.5280450267811866,0.009597164082716443,0.9540006435217583,0.26975877252142405,0.45957461706821096,0.6936262478304074,0.6555430465897284,0.4050860952115008,0.3704787678593394,0.028201222959113453,0.18133145526120725,0.0013057784619128594,0.4241695094143153,0.8326100606863293,0.8755018559010759,-0.013041647947086251,-0.011091700663937816,0.9512456984862434,0.7542786999135345,-0.039782731040005875,0.18094979558646693,-0.011687822562969132,0.07731252507790684,0.05403922065735283,0.13559500363161606,0.790440464575644,0.04140704856534733,0.26867360236946625,0.44973545089995337,0.9931282486778908
ANXA2,0.30271345906656816,0.5653090616680988,0.45491704234545466,0.5695691534797062,0.11448246751877436,0.6771139075710215,0.5488023034391656,0.322234627284927,0.1625405678018216,0.6272111298748945,-0.015860616045151116,0.32055089310065954,0.1098000279454169,0.8338966125366448,0.05141508210090814,0.6501218066382384,0.679289326516305,0.13950499089544588,0.44917807870512283,0.6912531314759901,0.8835870301796578,0.7169669460507394,0.5247148769078641,0.3765277985793749,-0.025941661102281972,0.5843482609301056,0.2296334422341788,0.5570499469152087,0.4325873058856546,0.3846538791494893,0.4350500982932123,0.661522272531085,0.464434027209676,0.29998105101392397,0.3985457802704475,0.3777497837583174,0.5129690876179991,0.4370237625726557,0.6604051288845931,0.1719174678045766,0.11555840808856396,0.29307512686819126,0.3661204287467368,0.49678769841831466,0.01574541027480698,0.6640225798132471,0.863836795606646,0.6463958163958069,0.674200267085862,0.7955963174539592,0.13204398999464032,0.8330107894338347,0.3785673372998386,0.47917208571642467,0.5073427046243854,0.8738210554328106,0.4338652748476398,0.4012395198832454,0.6758803977144544,0.5423855753850324,0.6253782897052653,0.8245526109766446,0.6552293600466205,0.7521719963306306,0.049887376397186066,-0.005303090579806535,0.7036762267026223,0.5329736371668027,0.3816202346770914,0.2139930365610226,0.04076179841041385,0.374424977916575,0.3137863725078899,0.419024302981425,0.6159520279808017,0.5093971699256146,0.5028577246516135,0.2975327350719972,0.6904745520740855
AKR1C2,0.18208649092910742,0.48610451346946193,0.30757125942979163,0.5256168307021694,0.12562948816549058,0.8438540228798423,0.4655601119734074,0.29835446567485063,0.13390083919581244,0.7700898816314015,-0.003115807901600686,0.23208875062939618,0.04984964455532016,0.6994182257312794,0.007185789261004024,0.5206656429165282,0.7820701370257392,0.05585225374133936,0.32031398346579576,0.5885176343671509,0.8506339455768166,0.7304333695714358,0.43909321735882056,0.33101590044642887,-0.013678566002974285,0.49005652542876044,0.16602857785226824,0.4375820522460296,0.5934229229096878,0.3134574452423025,0.31535325645019036,0.8160829564713153,0.37075703056554515,0.16166935433997898,0.2707795749570725,0.2933161452163501,0.39527754583778557,0.33525706718917,0.8253232295784512,0.09781007765609873,0.05053700688209879,0.2364482135681166,0.33243555946580744,0.3083619947884739,0.006696686322504231,0.5829384716964903,0.8664795880602372,0.697467124802261,0.5268520133330967,0.7138738266962162,0.03464039872487886,0.9500524068909935,0.36448643195608155,0.41424596839351446,0.5940626884433121,0.8365732905853559,0.364776478167941,0.3223256921720887,0.5285015907847522,0.36050526063501864,0.5153684334321389,0.7368703557663143,0.7099219605166911,0.8183482097014851,0.01823157648848568,-0.013653717298618478,0.8257374484492122,0.6556439035746775,0.31705405280628907,0.16581834544497026,-0.015028510450386471,0.3074529821402637,0.14320810250705787,0.29727657396965285,0.6700901301541474,0.3744197819295199,0.38747684032539276,0.37408987716165415,0.8468980874567857
AHNAK,0.6816237970708086,0.4167239017022219,0.6874214859492485,0.45725228038788224,0.049564304852508144,0.2803534548734586,0.29201729531629117,0.43445914937472374,0.06718843121401984,0.2715051917171418,-0.01796472500221139,0.33219040869663147,0.3698689475881465,0.37393829850626187,0.34958219450548234,0.20692340893734315,0.4107365133447593,0.6278929593519891,0.6491504854832617,0.5707068747053367,0.3923604244056582,0.5578243050439843,0.005377055520179519,0.2803010897594333,-0.019546694209121848,0.5983099560038643,0.5362782179676789,0.3082539408521644,0.12474050015624684,0.36416303733016414,0.3589520235946129,0.29159473338843644,0.4817050675948254,0.192474740070456,0.9321910706478267,0.8340206525761948,0.44833908466041483,0.477975396966871,0.2706604909489443,0.06411263055066126,0.42866362493096055,0.6310015134413304,0.25524350628106757,0.5405029231772134,0.1379749242051485,0.10343880583045409,0.2805056617466667,0.6227520173316431,0.04126978593575121,0.39433383085253965,0.3374255695911524,0.2746543246118904,0.12653622980044615,0.35939285415206645,0.3055204845345288,0.3239070489153852,0.5381262904761358,0.6273963164505979,0.05302661459619583,0.6508169150184742,0.03453350708334,0.27884737951682864,0.620965030686006,0.46994889818347735,0.10746753303077196,-0.0024325282656723598,0.3977390534265355,0.2508043202404286,-0.003826845412749057,0.4491161057037182,-0.02122228986256105,0.17555043080357116,0.5264761460603841,0.378370741710032,0.5129944184748124,0.2487074891274401,0.2216894958598756,0.19884242310678812,0.29491978275910513
ACTB,0.23291733894125305,0.6674595995242818,0.3899033322037299,0.4842368030097636,0.09637744468761322,0.17158698977129,0.40970850653833196,0.11819300936171256,0.365019902067267,0.14281717627397064,-0.019465186485893918,0.4758937888377404,0.09155301345010423,0.7437634055344832,0.08817818908259796,0.7969110177682417,0.17420000057932827,0.2659962208152027,0.47056543715513566,0.7231342566092207,0.6432512434960939,0.3270301901161304,0.5318931812793732,0.14884957889294786,-0.027564958387378633,0.46291653693287427,0.283053654399549,0.7130761183687039,0.10046440106793866,0.6585186373220646,0.6659591029237211,0.19907724608519511,0.46318290750289015,0.5521772840276371,0.3610071674111622,0.30548123740639826,0.5076500642223343,0.30687245041524747,0.17011545416934246,0.35488208462154763,0.07352920660463307,0.2853732967590216,0.2436257652566731,0.5305481462461968,0.02089996607284809,0.5361189149098537,0.6710739154710534,0.22298148747862562,0.5615625321123625,0.805333488561023,0.1737746062077157,0.3240939477007115,0.25930503859528165,0.2954915435030486,0.16446578452449095,0.7072127445928088,0.32033936705008886,0.2034454619568279,0.5895819949851465,0.6225370307263688,0.5624377126561544,0.795531027298966,0.21225079343474967,0.4649635364171552,0.3242495355030381,0.5379737092844921,0.19934340482888604,0.12740461892036717,0.3253433841233936,0.14648274258545443,0.16271135904933107,0.36827271331366923,0.37173880061969233,0.5845739010386859,0.18885053808243285,0.7222444834061401,0.7462628265786543,0.2979061937007116,0.2017114469304735
