TF,Target,Correlation
AC010970.2,ABC14-864958H18.2,0.013209017036044388
AC010970.2,ABCB7,0.08844197754234696
AC010970.2,AAK1,0.04330877115884452
AC010970.2,ABCD4,0.07318936188843642
AC010970.2,ABC7-42391500H16.4,0.8721128886323667
AC010970.2,ABC12-47964100C23.1,0.07304738009168742
AC010970.2,AADAT,0.01515195738719456
AC010970.2,AADACL3,0.04896396504771432
AC010970.2,AB019441.29,0.016944750401754357
AC010970.2,A2M,0.04609158659182202
AC010970.2,ABCB10P3,0.9290696946479042
AC010970.2,ABCA7,0.192075054220815
AC010970.2,AASS,-0.017626002016826237
AC010970.2,ABCB8,0.14901066976162913
AC010970.2,ABCC13,0.1169618687834381
AC010970.2,AARS,0.13713606036456816
AC010970.2,ABCA8,0.08395450095412044
AC010970.2,ABCB4,0.003188444445032898
AC010970.2,AASDH,0.10717869784051678
AC010970.2,A4GALT,0.022994109783779648
AC010970.2,ABCB6,0.0881338752658071
AC010970.2,ABCC6P2,0.03385360929387743
AC010970.2,ABCB10P1,0.08837508424802677
AC010970.2,ABCB11,0.019229281982968145
AC010970.2,ABCB10P4,0.9297741571751887
AC010970.2,ABCC11,0.11786418121767729
AC010970.2,A1BG,0.14095823624820433
AC010970.2,AAGAB,0.05603279419541293
AC010970.2,AADACL4,0.3543073748350884
AC010970.2,ABCB10,0.21896246329850105
AC010970.2,AASDHPPT,0.07589894512480669
AC010970.2,ABCD2,0.06408723117818042
AC010970.2,ABCC5,0.15429589657283418
AC010970.2,ABC13-48559800H2.1,0.005388761973585371
AC010970.2,AAED1,0.04091848810321996
AC010970.2,ABCA6,0.028523460565829342
AC010970.2,ABCD3,0.030827711945543578
AC010970.2,ABCD1,0.02724801032690325
AC010970.2,AATK-AS1,0.09717023144900844
AC010970.2,ABC13-47656900H15.1,-0.0146985220990122
AC010970.2,ABCD1P5,0.09797648050458768
AC010970.2,ABCA5,0.007435193206126263
AC010970.2,ABCA2,0.004881915050449286
AC010970.2,ABCB9,0.15922441912602284
AC010970.2,ABC7-42418200C9.1,0.13942893607063978
AC010970.2,ABC7-42404400C24.1,0.04035684489476069
AC010970.2,AARSD1,0.10546983090233358
AC010970.2,ABCA10,0.05813608915813602
AC010970.2,AADACP1,-0.005214397703337729
AC010970.2,AAR2,0.05406199484682717
AC010970.2,A3GALT2,0.017760326264958895
AC010970.2,AADAC,0.0650002421105197
AC010970.2,ABCA3,0.11728312599176867
AC010970.2,ABCA4,0.009200233183323048
AC010970.2,A2MP1,0.12667675420207744
AC010970.2,AAMP,0.05016472261585632
AC010970.2,ABCA11P,0.058138009953451024
AC010970.2,ABCA1,0.008679203477281823
AC010970.2,ABCC3,0.001947413861362981
AC010970.2,ABCC10,0.11025542612753339
AC010970.2,ABCC2,0.012994541455547834
AC010970.2,AAAS,0.07433770306613709
AC010970.2,ABCA9,0.09496558576739314
AC010970.2,AACS,0.117704143953481
AC010970.2,ABCC4,0.021749632877928346
AC010970.2,ABC9-43961700F1.1,-0.00989595953892989
AC010970.2,ABCC6,0.08424657546053752
AC010970.2,ABCC6P1,0.09556754030990237
AC010970.2,ABCC12,-0.03723221061193372
AC010970.2,ABCA17P,0.2849990365354034
AC010970.2,ABC13-48559800H2.2,0.014726983647489287
AC010970.2,AANAT,0.09064263738543223
AC010970.2,ABC13-47488600E17.1,0.032604990142015476
AC010970.2,AARS2,0.1507010207468747
AC010970.2,ABCC9,0.1060987986656832
AC010970.2,ABCC1,0.03439090607020899
AC010970.2,AATF,0.09695724296957546
AC010970.2,ABCB1,0.2052137411366836
AC010970.2,AAMDC,0.08086662505501171
CD74,ABC14-864958H18.2,0.07923643521613326
CD74,ABCB7,0.5488460274541923
CD74,AAK1,0.2036469407467854
CD74,ABCD4,0.33375481757672876
CD74,ABC7-42391500H16.4,0.06024420896858161
CD74,ABC12-47964100C23.1,0.25911697292478625
