TF,Target,importance,correlation,p_value
ADIRF,ABC12-47964100C23.1,0.9985156495389249,0.9985156495389249,3.2051937373247393e-252
ADIRF,AAMDC,0.9969631299928363,0.9969631299928363,1.7831809543566427e-221
ADH1B,ABC12-47964100C23.1,0.9967982733562776,0.9967982733562776,3.3156118288581776e-219
ADH1B,AAMDC,0.9931282486778908,0.9931282486778908,1.904096115958245e-186
ACSL1,ABCC6,0.987852504022578,0.987852504022578,4.597634950152312e-162
AGPAT2,ABCC6,0.9844801641594526,0.9844801641594526,1.3324098565125722e-151
ADIPOQ,ABCC6,0.9839315400086618,0.9839315400086618,4.04217934036828e-150
CD36,ABCC6,0.9815389054583419,0.9815389054583419,3.3405204992891083e-144
ADIRF,AATK-AS1,0.9793198216836055,0.9793198216836055,2.2750816916452055e-139
ALDH1A1,ABCC2,0.9753586954908837,0.9753586954908837,6.418602311662784e-132
ADH1B,AATK-AS1,0.9727836115102831,0.9727836115102831,1.061706554460793e-127
CD36,ABC12-47964100C23.1,0.9724820405206139,0.9724820405206139,3.114240492296137e-127
AGPAT2,ABC12-47964100C23.1,0.9718030202325484,0.9718030202325484,3.3643333826891685e-126
ADIPOQ,ABC12-47964100C23.1,0.9715295951113316,0.9715295951113316,8.629219598460617e-126
ADIPOQ,ABCD2,0.9674119090502227,0.9674119090502227,4.5265403918455856e-120
ACSL1,ABCD2,0.9674041205609162,0.9674041205609162,4.6331267432744885e-120
CD36,AAMDC,0.9672362394170745,0.9672362394170745,7.641045911115297e-120
AGPAT2,ABCD2,0.9666773497267123,0.9666773497267123,3.966595233677411e-119
AGPAT2,AAMDC,0.9664185358040819,0.9664185358040819,8.424101918520311e-119
CD36,ABCD2,0.9658953236387755,0.9658953236387755,3.793420963955896e-118
ADIPOQ,AAMDC,0.9649116215022996,0.9649116215022996,6.0330461142567935e-117
ACSL1,ABC12-47964100C23.1,0.9631573621717386,0.9631573621717386,6.925799120244117e-115
ADH1B,ABCD2,0.957711393138607,0.957711393138607,4.475703174006909e-109
ACSL1,AAMDC,0.9571269207752771,0.9571269207752771,1.6922089134692263e-108
ALDH1A1,AADACP1,0.9553739561272238,0.9553739561272238,8.197503347444128e-107
ADH1B,AADAC,0.9540006435217583,0.9540006435217583,1.539095762907276e-105
ADH1B,ABCC6,0.9512456984862434,0.9512456984862434,4.253077199064707e-103
AKR1C2,AADAC,0.9500524068909935,0.9500524068909935,4.391384933498176e-102
AGPAT2,AADAC,0.9482246542054146,0.9482246542054146,1.407170952419797e-100
ADIRF,AADAC,0.9478135951930448,0.9478135951930448,3.0162212835203444e-100
ALDOA,AAMP,0.9452967061274836,0.9452967061274836,2.8194624800015496e-98
ALDH1A1,ABCC3,0.9442776343637196,0.9442776343637196,1.6660604160171922e-97
AGPAT2,AATK-AS1,0.9440373700245492,0.9440373700245492,2.52043229505989e-97
CD36,AATK-AS1,0.9432486683122014,0.9432486683122014,9.685081826103775e-97
ADIPOQ,AATK-AS1,0.9423882651392564,0.9423882651392564,4.115370615991179e-96
ADIPOQ,AADAC,0.942366567284446,0.942366567284446,4.267056847311686e-96
CD36,AADAC,0.9423085841859192,0.9423085841859192,4.700083936307586e-96
ACSL1,AADAC,0.937282643242774,0.937282643242774,1.4268601234136113e-92
ADIRF,ABCD2,0.9372264514590529,0.9372264514590529,1.55476375278396e-92
ACSL1,ABCA8,0.9372190906134491,0.9372190906134491,1.5723373842160235e-92
ALDOA,AARSD1,0.9366594726700157,0.9366594726700157,3.680724107491139e-92
ADIPOQ,ABCA8,0.9360121525424406,0.9360121525424406,9.75042470019442e-92
AGPAT2,ABCA8,0.9357973962954866,0.9357973962954866,1.3440373633649186e-91
CD36,ABCA8,0.9345765784192079,0.9345765784192079,8.160727094882188e-91
ACSL1,AATK-AS1,0.9339804615900088,0.9339804615900088,1.944178218445044e-90
AHNAK,AAED1,0.9321910706478267,0.9321910706478267,2.5094943837516126e-89
AC010970.2,ABCB10P4,0.9297741571751887,0.9297741571751887,7.123330262147244e-88
AC010970.2,ABCB10P3,0.9290696946479042,0.9290696946479042,1.8469805073241594e-87
ADIPOQ,A2M,0.9165177649983737,0.9165177649983737,9.93322710577452e-81
ADH1B,ABCA8,0.9164864088602981,0.9164864088602981,1.0293134654186985e-80
AGPAT2,A2M,0.9150360749247588,0.9150360749247588,5.2594591145335714e-80
ACSL1,A2M,0.9143621684692744,0.9143621684692744,1.111227109972595e-79
CD36,A2M,0.9142772331395193,0.9142772331395193,1.22055228860935e-79
ADIRF,ABCC6,0.9123688927119961,0.9123688927119961,9.799853948693018e-79
ALDOA,ABCB6,0.9034536955210797,0.9034536955210797,9.123990489488423e-75
ADH1B,A2M,0.9026059474972361,0.9026059474972361,2.076422907819859e-74
ALDOA,AAR2,0.8957820103531821,0.8957820103531821,1.1959184503462026e-71
ALDOA,AACS,0.8893053895316221,0.8893053895316221,3.3563803741736455e-69
ADIRF,ABCA8,0.8876089026586282,0.8876089026586282,1.3867672921118411e-68
ANXA2,ABCB6,0.8835870301796578,0.8835870301796578,3.6637088520695905e-67
ALDH1A1,ABC7-42404400C24.1,0.8825626744062709,0.8825626744062709,8.273768933667133e-67
ADIRF,A2M,0.8794939283956873,0.8794939283956873,9.080891490057233e-66
ADH1B,AACS,0.8755018559010759,0.8755018559010759,1.8616593773479714e-64
CD36,AACS,0.87487219162257,0.87487219162257,2.9694532255271362e-64
ANXA2,AAMP,0.8738210554328106,0.8738210554328106,6.438019225666368e-64
AC010970.2,ABC7-42391500H16.4,0.8721128886323667,0.8721128886323667,2.231145043861599e-63
AGPAT2,AACS,0.8695616589558625,0.8695616589558625,1.3817264847024025e-62
AKR1C2,AARSD1,0.8664795880602372,0.8664795880602372,1.1887837304113006e-61
ADIRF,AACS,0.866178804515049,0.866178804515049,1.4624106489962813e-61
