id,type,degree
ABC14-864958H18.2,Target,0.020833333333333332
ABCB7,Target,0.14583333333333331
AAK1,Target,0.07291666666666666
ABCD4,Target,0.15625
ABC7-42391500H16.4,Target,0.010416666666666666
ABC12-47964100C23.1,Target,0.10416666666666666
AADAT,Target,0.0625
AADACL3,Target,0.09375
AB019441.29,Target,0.05208333333333333
A2M,Target,0.10416666666666666
ABCB10P3,Target,0.010416666666666666
ABCA7,Target,0.07291666666666666
AASS,Target,0.010416666666666666
ABCB8,Target,0.15625
CD47,TF,0.020833333333333332
ABCC13,Target,0.010416666666666666
AARS,Target,0.08333333333333333
ABCA8,Target,0.11458333333333333
ABCB4,Target,0.010416666666666666
AASDH,Target,0.14583333333333331
A4GALT,Target,0.14583333333333331
CD36,TF,0.3958333333333333
AGPAT2,TF,0.40625
ABCB6,Target,0.14583333333333331
ABCC6P2,Target,0.13541666666666666
ABCB10P1,Target,0.0625
ABCB11,Target,0.10416666666666666
ABCB10P4,Target,0.010416666666666666
ABCC11,Target,0.14583333333333331
A1BG,Target,0.010416666666666666
ADIRF,TF,0.38541666666666663
AAGAB,Target,0.15625
AADACL4,Target,0.11458333333333333
ANXA2,TF,0.625
ABCB10,Target,0.08333333333333333
AASDHPPT,Target,0.08333333333333333
ABCD2,Target,0.11458333333333333
ABCC5,Target,0.10416666666666666
ABC13-48559800H2.1,Target,0.041666666666666664
ACTG1,TF,0.4583333333333333
AAED1,Target,0.0625
ABCA6,Target,0.11458333333333333
CD74,TF,0.23958333333333331
ABCD3,Target,0.14583333333333331
ALDOA,TF,0.6145833333333333
ABCD1,Target,0.125
AATK-AS1,Target,0.10416666666666666
ABC13-47656900H15.1,Target,0.020833333333333332
ABCD1P5,Target,0.010416666666666666
ABCA5,Target,0.020833333333333332
AKR1C2,TF,0.5625
ABCA2,Target,0.03125
ABCB9,Target,0.07291666666666666
ABC7-42418200C9.1,Target,0.020833333333333332
ABC7-42404400C24.1,Target,0.0625
AARSD1,Target,0.14583333333333331
ALDH1A1,TF,0.25
ABCA10,Target,0.11458333333333333
AADACP1,Target,0.0625
AAR2,Target,0.15625
A3GALT2,Target,0.010416666666666666
AADAC,Target,0.13541666666666666
ABCA3,Target,0.041666666666666664
ABCA4,Target,0.125
AHNAK,TF,0.4583333333333333
A2MP1,Target,0.11458333333333333
AAMP,Target,0.15625
ABCA11P,Target,0.13541666666666666
ABCA1,Target,0.11458333333333333
ABCC3,Target,0.0625
ABCC10,Target,0.08333333333333333
ABCC2,Target,0.0625
AAAS,Target,0.14583333333333331
ADIPOQ,TF,0.38541666666666663
ABCA9,Target,0.11458333333333333
BTBD9,TF,0.03125
AACS,Target,0.14583333333333331
ABCC4,Target,0.020833333333333332
B2M,TF,0.5104166666666666
ABC9-43961700F1.1,Target,0.03125
ABCC6,Target,0.11458333333333333
ABCC6P1,Target,0.10416666666666666
ABCC12,Target,0.05208333333333333
ADH1B,TF,0.38541666666666663
ABCA17P,Target,0.010416666666666666
ABC13-48559800H2.2,Target,0.010416666666666666
AANAT,Target,0.0625
ABC13-47488600E17.1,Target,0.041666666666666664
AARS2,Target,0.08333333333333333
ABCC9,Target,0.11458333333333333
ABCC1,Target,0.07291666666666666
AC010970.2,TF,0.041666666666666664
AATF,Target,0.09375
ABCB1,Target,0.10416666666666666
AAMDC,Target,0.10416666666666666
ACTB,TF,0.46875
ACSL1,TF,0.3958333333333333
