Regulator,p_value,significant,median_high,median_low,effect
MYC,0.0041069094557166655,True,68.52988587982364,49.383708650401104,Protective
ESR1,0.14085638617555826,False,50.744467946301,62.27086444492694,Risk
KRAS,0.17358085920165583,False,56.592586713367446,51.848439314763695,Protective
TP53,0.25989592342897333,False,49.15624973913643,62.692464388838786,Risk
BRCA1,0.3074629276763331,False,51.541357892249096,60.36042358265499,Risk
EGFR,0.3540500112978593,False,58.86576433274063,51.541357892249096,Protective
NFKB1,0.36035147952375657,False,56.592586713367446,53.969517484839926,Protective
PTEN,0.4390582235502566,False,58.86576433274063,52.77207410676243,Protective
BRAF,0.5042426308626362,False,56.592586713367446,53.93813695219573,Protective
STAT3,0.6341470855095637,False,53.93813695219573,58.71062637838595,Risk
