source,target,support_count,avg_score
CD36,AAR2,3,0.586289726420397
CD36,AADAC,3,0.7803808740015405
CD36,ABCA4,3,0.42605161803940267
CD36,ABCC11,3,0.40711797569828684
CD36,ABC12-47964100C23.1,2,0.972482040520614
CD36,ABCB8,3,0.5092149416669823
CD36,A2M,2,0.9142772331395193
CD36,AASDH,3,0.4532572908722803
CD36,ABCD4,3,0.5542633451226865
CD36,ABCC6P2,3,0.586612337065913
CD36,ABCB1,3,0.4781451290081109
CD36,ABCA8,2,0.9345765784192079
CD36,ABCA1,3,0.4861360931674503
CD36,ABCD3,3,0.47177951472685803
CD36,AAMDC,3,0.8835976665921793
CD36,AADACL4,2,0.6308259898579034
CD36,ABCA10,3,0.7803256071588544
CD36,ABCC6,3,0.8906635926945782
CD36,ABCB7,3,0.5311095382095048
CD36,AAGAB,3,0.4411814622263022
CD36,ABCC6P1,2,0.7561173319755863
CD36,AADACL3,3,0.40387412850635523
CD36,ABCB6,3,0.6557230291565995
CD36,AATK-AS1,2,0.9432486683122014
CD36,A4GALT,3,0.507608971782718
CD36,ABCD1,3,0.4676186421454869
CD36,ABCB11,3,0.42606698530618575
CD36,AACS,3,0.8062518245024428
CD36,ABCA6,3,0.45220995985043944
CD36,AAAS,3,0.522295563989076
CD36,ABCC5,3,0.4345016110457034
CD36,AAMP,3,0.6594083030732206
CD36,ABCC9,3,0.7473129998664162
CD36,ABCD2,3,0.7543438639408757
CD36,A2MP1,3,0.6668800076239173
CD36,ABCA9,3,0.7695230120211408
CD36,AARSD1,3,0.6996065969900216
CD36,ABCA11P,3,0.477068511875748
AGPAT2,AATF,3,0.4792237036949958
AGPAT2,AAGAB,3,0.4932023771142313
AGPAT2,ABCC6P1,3,0.6486790507264942
AGPAT2,AADACL3,3,0.34683046608722473
AGPAT2,ABCB6,3,0.7148317376102558
AGPAT2,AATK-AS1,2,0.9440373700245492
AGPAT2,A4GALT,3,0.5775648672333095
AGPAT2,ABCD1,3,0.5392417991495775
AGPAT2,ABCB11,3,0.40599466224331393
AGPAT2,AACS,3,0.850665188163577
AGPAT2,ABCA6,3,0.3585766327566291
AGPAT2,AAAS,3,0.59716832977706
